"","No.","AV.Pyrometer","AV.MTC1","AV.Abs..Piston.T","AV.Force","I.RMS","U.RMS","pression","reldisp","dplblanc","dplcorr","hlitpoudre","density","reldensity","DDDTsurD"
"621",620,920,35,19.95,16,1.22,4.94,5.09295817894065,-0.0100000000000016,-0.121530790219984,0.111530790219982,0.804413181578387,1.58281785268221,0.395704463170551,NA
"631",630,935,36,19.94,16,1.27,5.03,5.09295817894065,-0.0199999999999996,-0.135696419301403,0.115696419301403,0.814413181578385,1.56338278104431,0.390845695261078,-0.00182001814813678
"641",640,952,36,19.92,16,1.27,5.01,5.09295817894065,-0.0399999999999991,-0.151910957613976,0.111910957613977,0.834413181578384,1.5259101520025,0.381477538000625,-0.00182000514970049
"651",650,968,37,19.91,16,1.3,5.07,5.09295817894065,-0.0500000000000007,-0.167327147692572,0.117327147692571,0.844413181578386,1.50783949435182,0.376959873587954,-0.00118442047960872
"661",660,985,38,19.9,16,1.31,5.08,5.09295817894065,-0.0600000000000023,-0.183872013297014,0.123872013297011,0.854413181578387,1.49019183246104,0.37254795811526,-0.0011705542734182
"671",670,1004,39,19.89,16,1.34,5.13,5.09295817894065,-0.0700000000000003,-0.20256470967456,0.13256470967456,0.864413181578385,1.47295248599781,0.368238121499454,-0.00115700902113234
"681",680,1017,39,19.88,16,1.36,5.16,5.09295817894065,-0.0800000000000018,-0.215476923591335,0.135476923591333,0.874413181578387,1.45610744618106,0.364026861545266,-0.00114377370537085
"691",690,1035,40,19.87,16,1.37,5.17,5.09295817894065,-0.0899999999999999,-0.233519654047828,0.143519654047828,0.884413181578385,1.43964333781508,0.359910834453771,-0.0011308378073705
"701",700,1051,41,19.86,16,1.41,5.24,5.09295817894065,-0.100000000000001,-0.249717795362787,0.149717795362786,0.894413181578386,1.42354738387046,0.355886845967614,-0.00111819127908963
"711",710,1068,42,19.85,16,1.43,5.28,5.09295817894065,-0.109999999999999,-0.267093484155865,0.157093484155866,0.904413181578384,1.40780737241479,0.351951843103697,-0.00110582451716473
"721",720,1084,43,19.84,16,1.46,5.33,5.09295817894065,-0.120000000000001,-0.283602521745524,0.163602521745523,0.914413181578386,1.39241162571322,0.348102906428306,-0.00109372833857794
"731",730,1102,44,19.83,16,1.48,5.37,5.09295817894065,-0.130000000000003,-0.302355367556726,0.172355367556724,0.924413181578388,1.37734897133463,0.344337242833657,-0.00108189395790374
"741",740,1119,45,19.82,16,1.49,5.38,5.09295817894065,-0.140000000000001,-0.320241562164509,0.180241562164508,0.934413181578386,1.36260871511299,0.340652178778247,-0.00107031296602092
"751",750,1136,46,19.81,16,1.53,5.44,5.09295817894065,-0.150000000000002,-0.338297925377193,0.188297925377191,0.944413181578387,1.34818061582666,0.337045153956664,-0.000535095191139637
"761",760,1152,46,19.81,16,1.54,5.47,5.09295817894065,-0.150000000000002,-0.355447597714716,0.205447597714714,0.944413181578387,1.34818061582666,0.337045153956664,0
"771",770,1170,47,19.81,16,1.57,5.5,5.09295817894065,-0.150000000000002,-0.374921157617266,0.224921157617264,0.944413181578387,1.34818061582666,0.337045153956664,-0.000523882119034659
"781",780,1186,48,19.8,16,1.59,5.55,5.09295817894065,-0.16,-0.392391147328721,0.232391147328721,0.954413181578385,1.33405486146944,0.333513715367361,0
"791",790,1202,49,19.81,16,1.63,5.61,5.09295817894065,-0.150000000000002,-0.410011874627909,0.260011874627907,0.944413181578387,1.34818061582666,0.337045153956664,0.000523882119034659
"801",800,1219,50,19.81,16,1.63,5.62,5.09295817894065,-0.150000000000002,-0.42889906102923,0.278899061029228,0.944413181578387,1.34818061582666,0.337045153956664,0
"811",810,1235,51,19.81,16,1.65,5.65,5.09295817894065,-0.150000000000002,-0.446830684603117,0.296830684603114,0.944413181578387,1.34818061582666,0.337045153956664,0.00108176735244356
"821",820,1250,52,19.83,16,1.69,5.72,5.09295817894065,-0.130000000000003,-0.463778482051869,0.333778482051867,0.924413181578388,1.37734897133463,0.344337242833657,0.00332024504653311
"831",830,1268,53,19.87,16,1.7,5.74,5.09295817894065,-0.0899999999999999,-0.484290718144891,0.394290718144891,0.884413181578385,1.43964333781508,0.359910834453771,0.00646110758210523
"841",840,1283,54,19.94,16,1.74,5.81,5.09295817894065,-0.0199999999999996,-0.501529980851174,0.481529980851174,0.814413181578385,1.56338278104431,0.390845695261078,0.0101693508298774
"851",850,1302,55,20.03,16,1.74,5.81,5.09295817894065,0.0700000000000003,-0.523556568719904,0.593556568719905,0.724413181578385,1.75761509745166,0.439403774362916,0.0126186199796452
"861",860,1318,56,20.12,16,1.79,5.89,5.09295817894065,0.16,-0.542270143530155,0.702270143530155,0.634413181578385,2.00695632074891,0.501739080187226,0.0144777052694703
"871",870,1334,57,20.21,16,1.81,5.92,5.09295817894065,0.25,-0.561134455928138,0.811134455928138,0.544413181578385,2.33873753946173,0.584684384865432,0.0157061890918624
"881",880,1350,59,20.29,16,1.83,5.95,5.09295817894065,0.329999999999998,-0.580149505913855,0.910149505913853,0.464413181578387,2.74160940136936,0.685402350342341,0.0133799873146819
"891",890,1367,60,20.34,16,1.87,6.01,5.09295817894065,0.379999999999999,-0.600518160169612,0.980518160169611,0.414413181578386,3.07239151970442,0.768097879926106,0.00661949677620222
"901",900,1385,61,20.35,16,1.89,6.04,5.09295817894065,0.390000000000001,-0.622270448449217,1.01227044844922,0.404413181578384,3.14836311656765,0.787090779141913,0.0024742314380228
"911",910,1401,62,20.36,16,1.94,6.13,5.09295817894065,0.399999999999999,-0.641765974495832,1.04176597449583,0.394413181578386,3.22818709973089,0.807046774932722,0
"921",920,1418,63,20.35,16,1.95,6.15,5.09295817894065,0.390000000000001,-0.662645134566293,1.05264513456629,0.404413181578384,3.14836311656765,0.787090779141913,-0.00126770610961574
"931",930,1437,65,20.35,16,1.95,6.15,5.09295817894065,0.390000000000001,-0.686182042405862,1.07618204240586,0.404413181578384,3.14836311656765,0.787090779141913,-0.00120652532840706
"941",940,1450,66,20.34,16,1.99,6.22,5.09295817894065,0.379999999999999,-0.702408716796653,1.08240871679665,0.414413181578386,3.07239151970442,0.768097879926106,-0.00123635930473044
"951",950,1469,68,20.34,16,2.03,6.27,5.09295817894065,0.379999999999999,-0.726303626407088,1.10630362640709,0.414413181578386,3.07239151970442,0.768097879926106,-0.00117809724509635
"961",960,1486,70,20.33,16,2.04,6.3,5.09295817894065,0.369999999999997,-0.747863460897156,1.11786346089715,0.424413181578388,3,0.75,NA
