"","No.","AV.Pyrometer","AV.MTC1","AV.Abs..Piston.T","AV.Force","I.RMS","U.RMS","pression","reldisp","dplblanc","dplcorr","hlitpoudre","density","reldensity","DDDTsurD"
"501",500,837,24,19.51,16,1.11,4.8,5.09295817894065,-0.00999999999999801,0.0879034954663642,-0.0979034954663622,0.94830988618379,0.335660200132196,0.335660200132196,NA
"511",510,853,25,19.5,16,1.14,4.84,5.09295817894065,-0.0199999999999996,0.0718267621269056,-0.0918267621269052,0.958309886183791,0.332157573216085,0.332157573216085,-0.00104361743136921
"521",520,870,25,19.49,16,1.15,4.84,5.09295817894065,-0.0300000000000011,0.0546679745681905,-0.0846679745681916,0.968309886183793,0.328727291464804,0.328727291464804,-0.0010328373986488
"531",530,888,25,19.48,16,1.18,4.92,5.09295817894065,-0.0399999999999991,0.0364130858110297,-0.0764130858110288,0.978309886183791,0.325367136404457,0.325367136404457,-0.00102227781646523
"541",540,904,25,19.47,16,1.21,4.98,5.09295817894065,-0.0500000000000007,0.0201116008045446,-0.0701116008045453,0.988309886183792,0.322074979349742,0.322074979349742,-0.00101193199029232
"551",550,918,26,19.46,16,1.22,5.01,5.09295817894065,-0.0599999999999987,0.00578996092132668,-0.0657899609213254,0.99830988618379,0.318848776906923,0.318848776906923,-0.00100179349397568
"561",560,937,26,19.45,16,1.23,5.02,5.09295817894065,-0.0700000000000003,-0.0137328979561235,-0.0562671020438768,1.00830988618379,0.315686566744393,0.315686566744393,-0.00099185615641667
"571",570,953,26,19.44,16,1.26,5.05,5.09295817894065,-0.0799999999999983,-0.0302503208387712,-0.0497496791612271,1.01830988618379,0.312586463612453,0.312586463612453,-0.000982114049041323
"581",580,968,27,19.43,16,1.28,5.1,5.09295817894065,-0.0899999999999999,-0.045799442490498,-0.0442005575095018,1.02830988618379,0.309546655595314,0.309546655595314,-0.000972561474001217
"591",590,985,27,19.42,16,1.3,5.14,5.09295817894065,-0.0999999999999979,-0.0634966975847973,-0.0365033024152006,1.03830988618379,0.306565400579695,0.306565400579695,-0.000963192953056411
"601",600,1005,27,19.41,16,1.31,5.15,5.09295817894065,-0.109999999999999,-0.0844189071526,-0.0255810928473994,1.04830988618379,0.303641022925528,0.303641022925528,-0.000481551805153069
"611",610,1020,28,19.41,16,1.33,5.18,5.09295817894065,-0.109999999999999,-0.100182864956632,-0.00981713504336783,1.04830988618379,0.303641022925528,0.303641022925528,-0.000472451411942349
"621",620,1036,28,19.4,16,1.36,5.24,5.09295817894065,-0.120000000000001,-0.117066060160126,-0.00293393983987479,1.05830988618379,0.300771910325433,0.300771910325433,-0.000476958203475741
