"","No.","AV.Pyrometer","AV.MTC1","AV.Abs..Piston.T","AV.Force","I.RMS","U.RMS","pression","reldisp","dplblanc","dplcorr","hlitpoudre","density","reldensity","DDDTsurD"
"621",620,916,26,20.08,16,1.28,4.98,5.09295817894065,-0.0100000000000016,0.00618096112108057,-0.0161809611210821,0.864413181578389,1.47295248599781,0.368238121499452,NA
"631",630,936,27,20.07,16,1.31,5.03,5.09295817894065,-0.0199999999999996,-0.014447105735061,-0.00555289426493854,0.874413181578387,1.45610744618106,0.364026861545266,-0.00114377370537084
"641",640,953,27,20.06,16,1.31,5.04,5.09295817894065,-0.0300000000000011,-0.0321235104544807,0.00212351045447958,0.884413181578388,1.43964333781508,0.359910834453769,-0.0011308378073705
"651",650,968,28,20.05,16,1.34,5.08,5.09295817894065,-0.0399999999999991,-0.0478291187331669,0.0078291187331677,0.894413181578386,1.42354738387046,0.355886845967614,-0.00111819127908962
"661",660,985,28,20.04,16,1.35,5.1,5.09295817894065,-0.0500000000000007,-0.0657520927787691,0.0157520927787684,0.904413181578388,1.40780737241478,0.351951843103695,-0.00110582451716474
"671",670,1001,28,20.03,16,1.37,5.13,5.09295817894065,-0.0599999999999987,-0.0827404328770422,0.0227404328770435,0.914413181578386,1.39241162571322,0.348102906428306,-0.00109372833857774
"681",680,1021,29,20.02,16,1.39,5.16,5.09295817894065,-0.0700000000000003,-0.104139028877504,0.0341390288775042,0.924413181578388,1.37734897133463,0.344337242833657,-0.000546798766764299
"691",690,1033,29,20.02,16,1.43,5.23,5.09295817894065,-0.0700000000000003,-0.117065210945846,0.047065210945846,0.924413181578388,1.37734897133463,0.344337242833657,-0.00105885857959828
"701",700,1051,29,20,16,1.45,5.26,5.09295817894065,-0.0899999999999999,-0.136576862206575,0.0465768622065747,0.944413181578387,1.34818061582666,0.337045153956664,-0.0016056494714784
"711",710,1068,30,19.99,16,1.46,5.27,5.09295817894065,-0.100000000000001,-0.155139375441963,0.0551393754419615,0.954413181578389,1.33405486146944,0.333513715367359,-0.000529429289799223
"721",720,1085,30,19.99,16,1.49,5.36,5.09295817894065,-0.100000000000001,-0.173832878631886,0.0738328786318845,0.954413181578389,1.33405486146944,0.333513715367359,-0.000518449985494379
"731",730,1101,31,19.98,16,1.51,5.37,5.09295817894065,-0.109999999999999,-0.191546422630696,0.0815464226306966,0.964413181578387,1.32022204699789,0.330055511749472,-0.00103701146647449
"741",740,1120,31,19.97,16,1.53,5.41,5.09295817894065,-0.120000000000001,-0.212731962564863,0.0927319625648624,0.974413181578388,1.30667315344885,0.326668288362213,-0.000518449985494568
"751",750,1136,32,19.97,16,1.56,5.46,5.09295817894065,-0.120000000000001,-0.230699327928862,0.110699327928861,0.974413181578388,1.30667315344885,0.326668288362213,0
