No.,Date,Time,P.Time,AV Pyrometer,AV TC1 (K),AV TC2 (S),AV PTC top,AV PTC bot.,AV Force,AV Speed,AV Abs. Piston T,AV Rel. Piston T,AV Press. Abs. 1,AV Press. Abs. 2,AV Press. Rel.,I RMS,U RMS,AV Heating Power,AV CZ Output,SV Temperature  ,SV Jump to Pyro ,SV Max. Temp TC ,SV Force        ,SV Put on Force ,SV Max. Piston t,SV Rel. Pressure,SV Start Vacuum ,SV Open V1      ,SV Pulse Time   ,SV Pause Time   ,SV Pulses Per Bu,SV Pause Between,SV Power limit  
,,,,°C,°C,°C,°C,°C,kN,mm/min,mm,mm,hPa,hPa,hPa,kA,V,kW,%,°C    ,°C    ,°C    ,kN    ,kN    ,mm    ,hPa   ,hPa   ,hPa   ,ms    ,ms    ,,ms    ,%     
1,25/04/2013,14:00:57,00:00:00,400,12,13,20,20,4,0.000,42.300,0.000,0.00,32.28,-634.92,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
2,25/04/2013,14:00:58,00:00:01,400,12,13,20,20,3,0.000,42.280,0.000,0.00,32.28,-634.92,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
3,25/04/2013,14:00:59,00:00:02,400,12,13,20,20,4,0.000,42.280,0.000,0.00,32.28,-634.92,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
4,25/04/2013,14:01:00,00:00:03,400,12,14,20,20,3,0.000,42.280,0.000,0.00,27.01,-634.92,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
5,25/04/2013,14:01:01,00:00:04,400,13,14,20,20,4,0.000,42.280,0.000,0.00,22.44,-634.92,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
6,25/04/2013,14:01:02,00:00:05,400,13,14,20,20,4,0.000,42.280,0.000,0.00,22.44,-634.92,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
7,25/04/2013,14:01:03,00:00:06,400,13,14,20,20,4,0.000,42.280,0.000,0.00,15.87,-634.92,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
8,25/04/2013,14:01:04,00:00:07,400,12,14,20,20,4,0.080,42.280,0.000,0.00,13.43,-634.92,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
9,25/04/2013,14:01:05,00:00:08,400,12,14,20,20,4,0.000,42.280,0.000,0.00,11.52,-634.92,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
10,25/04/2013,14:01:06,00:00:09,400,12,14,20,20,4,0.000,42.280,0.000,0.00,9.69,-634.92,0.01,0.01,0.0,100.0,20,20,1000,5,5,8,20,1,1,0,0,1,0,0
